channel,per_channel_auc,probe_weight_abs
159,0.4930978658112776,0.015299223
96,0.4379429637167809,0.015244422
197,0.5452487604989303,0.01514728
222,0.4937310436988058,0.015099343
39,0.5064621498207302,0.014661665
62,0.6225944972359847,0.014141889
44,0.47242994963311113,0.014022593
230,0.5116450588254837,0.013851674
233,0.545050428000528,0.013819068
158,0.49898733737422485,0.013771479
124,0.49731648949516827,0.013728482
34,0.4859670088572635,0.013668026
112,0.45684528972108057,0.013590545
64,0.5431699113574231,0.013531361
189,0.5121530414659117,0.013327505
148,0.471507339962074,0.013139629
120,0.4764416939221389,0.012935707
155,0.550924651886201,0.012927786
89,0.5655820424249896,0.012904707
188,0.4841067669633076,0.012277304
108,0.4846808966023114,0.0122584365
47,0.5300301173187434,0.012155421
45,0.48840090408609144,0.012070736
50,0.4806849327727492,0.011987617
27,0.5677147435712493,0.011899021
232,0.5160230259125884,0.011691233
187,0.4474621260404946,0.011623098
106,0.5226463818633738,0.011357622
99,0.5418746277125425,0.011224856
202,0.4662402405300894,0.011223908
128,0.5100194728656147,0.010320809
171,0.5397805118346015,0.009165016
215,0.506032043692686,0.00907769
107,0.49622106142032696,0.008983669
72,0.4413287128860026,0.008635744
61,0.45314061690477503,0.0080559915
75,0.559673724937861,0.007995614
170,0.508635354478509,0.007870225
20,0.5175307252010173,0.007603765
235,0.5092864756029645,0.0075070197
70,0.4984771560236998,0.0073824893
203,0.4700333645448926,0.0073263533
3,0.4784918031625965,0.0071765287
12,0.3897815951467337,0.0066979425
57,0.5453930560837623,0.006662922
56,0.5772243102201683,0.00643041
26,0.6058697870357499,0.0058363327
165,0.5356685919040538,0.005613806
133,0.5576933672376546,0.005572446
84,0.5473830971483826,0.005447413
101,0.49511302999544504,0.005180203
167,0.49978084650644733,0.0049203155
192,0.4811418046925749,0.0048710695
114,0.48946876020167746,0.0040802425
40,0.4911487695913734,0.004072285
31,0.47096305425653107,0.0037091572
201,0.49484608294930876,0.0036821621
169,0.5479903128762108,0.003202661
21,0.5055741121535364,0.003039751
126,0.4860648828867108,0.0029020768
19,0.49762356988547896,0.0026654024
172,0.5168018542463895,0.0026641686
253,0.5194244592837778,0.0025994892
225,0.5340251440146808,0.0021652754
97,0.4181212822617802,0.0021217396
109,0.48871655331712427,0.0018367522
7,0.5124227726355932,0.001760585
255,0.4792530969822706,0.0012064631
15,0.5581841574671251,0.001099155
209,0.5361287503049028,0.0009129889
24,0.4583417170029559,0.0007290845
243,0.48569217630247064,0.00017894885
150,0.5032917469468189,8.150596e-05
